Iteration, Batch, Loss
17, 24, 1.1769442558288574
17, 25, 1.1629867553710938
17, 26, 1.160974144935608
17, 27, 1.2372204065322876
17, 28, 1.2434688806533813
17, 29, 1.2008236646652222
17, 30, 1.162856101989746
17, 31, 1.17876398563385
17, 32, 1.233385443687439
17, 33, 1.146234393119812
17, 34, 1.250750184059143
17, 35, 1.2591296434402466
17, 36, 1.179068922996521
17, 37, 1.2066564559936523
17, 38, 1.2218778133392334
17, 39, 1.2299280166625977
17, 40, 1.255655288696289
17, 41, 1.2129061222076416
17, 42, 1.248995065689087
17, 43, 1.2482203245162964
17, 44, 1.1400214433670044
17, 45, 1.2111061811447144
17, 46, 1.3366787433624268
18, 0, 1.1205402612686157
18, 1, 1.2112771272659302
18, 2, 1.165106177330017
18, 3, 1.180483102798462
18, 4, 1.1983410120010376
18, 5, 1.2161455154418945
18, 6, 1.3043270111083984
18, 7, 1.244156837463379
18, 8, 1.1264863014221191
18, 9, 1.2627452611923218
18, 10, 1.1805673837661743
18, 11, 1.1961849927902222
18, 12, 1.3534687757492065
18, 13, 1.2175734043121338
18, 14, 1.2401695251464844
18, 15, 1.183730959892273
18, 16, 1.1149954795837402
18, 17, 1.1782219409942627
18, 18, 1.3095412254333496
18, 19, 1.1565550565719604
18, 20, 1.2481396198272705
18, 21, 1.2166610956192017
18, 22, 1.240288257598877
18, 23, 1.2053717374801636
18, 24, 1.163083791732788
18, 25, 1.225717544555664
18, 26, 1.2047556638717651
18, 27, 1.2623482942581177
18, 28, 1.224039077758789
18, 29, 1.273223876953125
18, 30, 1.2029082775115967
18, 31, 1.206751823425293
18, 32, 1.2223646640777588
18, 33, 1.2617000341415405
18, 34, 1.1742866039276123
18, 35, 1.1859863996505737
18, 36, 1.3078250885009766
18, 37, 1.2724510431289673
18, 38, 1.2474145889282227
18, 39, 1.2933939695358276
18, 40, 1.2327598333358765
18, 41, 1.244908094406128
18, 42, 1.161848783493042
18, 43, 1.280456781387329
18, 44, 1.206203818321228
18, 45, 1.198758602142334
18, 46, 1.1982301473617554
19, 0, 1.1769623756408691
19, 1, 1.18120276927948
19, 2, 1.2272354364395142
19, 3, 1.2509647607803345
19, 4, 1.2016302347183228
19, 5, 1.1897245645523071
19, 6, 1.1734586954116821
19, 7, 1.1629092693328857
19, 8, 1.1508454084396362
19, 9, 1.279227375984192
19, 10, 1.1773499250411987
19, 11, 1.2587515115737915
19, 12, 1.2176439762115479
19, 13, 1.24275803565979
19, 14, 1.173155426979065
19, 15, 1.1708189249038696
19, 16, 1.2750368118286133
19, 17, 1.176203727722168
19, 18, 1.2863614559173584
19, 19, 1.1753385066986084
19, 20, 1.142709732055664
19, 21, 1.227073311805725
19, 22, 1.1553723812103271
19, 23, 1.2797157764434814
19, 24, 1.2098184823989868
19, 25, 1.2724026441574097
19, 26, 1.210334300994873
19, 27, 1.1708213090896606
19, 28, 1.3299652338027954
19, 29, 1.2554961442947388
19, 30, 1.2190639972686768
19, 31, 1.248778223991394
19, 32, 1.2431451082229614
19, 33, 1.2258249521255493
19, 34, 1.221718192100525
19, 35, 1.166481614112854
19, 36, 1.2211679220199585
19, 37, 1.2878831624984741
19, 38, 1.1691668033599854
19, 39, 1.2363868951797485
19, 40, 1.246323585510254
19, 41, 1.20513916015625
19, 42, 1.2268702983856201
19, 43, 1.2059926986694336
19, 44, 1.2509843111038208
19, 45, 1.2654329538345337
19, 46, 1.1678941249847412
20, 0, 1.197704553604126
20, 1, 1.2038730382919312
